generation	AC	ID	AuROC	roc_auc	AuPR	pr_auc	parent_AC	parent_ID	selected
3	cluster_4_G3_M3_C4	cluster_4_G3_M3_C4	0.738229151580106	0.7377332502969034	0.7333800237671848	0.7320794184843485	cluster_4_G2_M3_C8	cluster_4_G2_M3_C8	0
3	cluster_4_G3_M2_C9	cluster_4_G3_M2_C9	0.738111548822524	0.7376243373982563	0.7389491273787293	0.7360500000816996	cluster_4_G2_M3_C4	cluster_4_G2_M3_C4	0
3	cluster_4_G3_M5_C3	cluster_4_G3_M5_C3	0.7380404368102422	0.7375317904006025	0.7344783796979479	0.7326519285904225	cluster_4_G2_M5_C8	cluster_4_G2_M5_C8	0
3	cluster_4_G3_M3_C1	cluster_4_G3_M3_C1	0.7377833618167597	0.7372815224632854	0.7394802486562908	0.7375898911205124	cluster_4_G2_M3_C8	cluster_4_G2_M3_C8	0
3	cluster_4_G2_M3_C8	cluster_4_G2_M3_C8	0.7375225212177389	0.7370267647655186	0.7374313951220046	0.7357691107713918	cluster_4_G1_M4_C7	cluster_4_G1_M4_C7	0
3	cluster_4_G3_M1_C3	cluster_4_G3_M1_C3	0.7374648784868054	0.7369579700489528	0.7422123176500358	0.7407944141404921	cluster_4_G2_M3_C1	cluster_4_G2_M3_C1	0
3	cluster_4_G3_M1_C7	cluster_4_G3_M1_C7	0.7371591402832893	0.7366601975494598	0.73871275123056	0.7370311395052128	cluster_4_G2_M3_C1	cluster_4_G2_M3_C1	0
3	cluster_4_G3_M5_C1	cluster_4_G3_M5_C1	0.7369010514729312	0.7364103641050894	0.7247913584963591	0.7227853021121187	cluster_4_G2_M5_C8	cluster_4_G2_M5_C8	0
3	cluster_4_G3_M3_C6	cluster_4_G3_M3_C6	0.7362598847145383	0.7357484865162355	0.735982051283609	0.7340921020722078	cluster_4_G2_M3_C8	cluster_4_G2_M3_C8	0
3	cluster_4_G3_M1_C5	cluster_4_G3_M1_C5	0.7360888393245081	0.7355896069287142	0.7398723552625952	0.7384832048625556	cluster_4_G2_M3_C1	cluster_4_G2_M3_C1	0
3	cluster_4_G3_M1_C10	cluster_4_G3_M1_C10	0.7360888393245081	0.7355896069287142	0.7398723552625952	0.7384832048625556	cluster_4_G2_M3_C1	cluster_4_G2_M3_C1	0
3	cluster_4_G3_M4_C6	cluster_4_G3_M4_C6	0.7354499898618314	0.7349393158184399	0.7375622234475893	0.7351904183397479	cluster_4_G2_M3_C9	cluster_4_G2_M3_C9	0
3	cluster_4_G3_M4_C10	cluster_4_G3_M4_C10	0.7349123772557424	0.7344151724936998	0.7328071956436963	0.7306161864714099	cluster_4_G2_M3_C9	cluster_4_G2_M3_C9	0
3	cluster_4_G3_M2_C6	cluster_4_G3_M2_C6	0.7343484054108854	0.7338611939866175	0.7325973232148851	0.7302530686096963	cluster_4_G2_M3_C4	cluster_4_G2_M3_C4	0
3	cluster_4_G3_M5_C4	cluster_4_G3_M5_C4	0.7333541407177822	0.7328478116038583	0.7297432958773098	0.7273858788975932	cluster_4_G2_M5_C8	cluster_4_G2_M5_C8	0
3	cluster_4_G3_M3_C8	cluster_4_G3_M3_C8	0.7328543289980594	0.7323549517712828	0.7338721583994351	0.7321531410033051	cluster_4_G2_M3_C8	cluster_4_G2_M3_C8	0
3	cluster_4_G3_M3_C5	cluster_4_G3_M3_C5	0.7328543289980594	0.7323549517712828	0.7338721583994351	0.7321531410033051	cluster_4_G2_M3_C8	cluster_4_G2_M3_C8	0
3	cluster_4_G3_M1_C2	cluster_4_G3_M1_C2	0.7321553746777509	0.7316410798598036	0.7349228561391045	0.7332922565567519	cluster_4_G2_M3_C1	cluster_4_G2_M3_C1	0
3	cluster_4_G3_M3_C3	cluster_4_G3_M3_C3	0.7275270109781886	0.727023433652927	0.7271957605095981	0.7250919602723327	cluster_4_G2_M3_C8	cluster_4_G2_M3_C8	0
3	cluster_4_G3_M5_C10	cluster_4_G3_M5_C10	0.7267778003070419	0.7262752367986559	0.7277580130228434	0.7256685533359548	cluster_4_G2_M5_C8	cluster_4_G2_M5_C8	0
3	cluster_4_G3_M1_C9	cluster_4_G3_M1_C9	0.7265635952843035	0.7260588593111837	0.7335102087236549	0.7319948519768981	cluster_4_G2_M3_C1	cluster_4_G2_M3_C1	0
3	cluster_4_G3_M2_C7	cluster_4_G3_M2_C7	0.7234985372070792	0.7229964081916402	0.7162957229453715	0.7154640254110015	cluster_4_G2_M3_C4	cluster_4_G2_M3_C4	0
3	cluster_4_G3_M3_C9	cluster_4_G3_M3_C9	0.7206731744054686	0.7201623555310952	0.7288970117947159	0.7268645095081124	cluster_4_G2_M3_C8	cluster_4_G2_M3_C8	0
3	cluster_4_G3_M1_C4	cluster_4_G3_M1_C4	0.7203199316397766	0.7198164991454972	0.7152191396393337	0.7145157582692312	cluster_4_G2_M3_C1	cluster_4_G2_M3_C1	0
3	cluster_4_G3_M4_C2	cluster_4_G3_M4_C2	0.7198763143411641	0.7193746198186716	0.7179865324942503	0.7162370533993969	cluster_4_G2_M3_C9	cluster_4_G2_M3_C9	0
3	cluster_4_G3_M3_C10	cluster_4_G3_M3_C10	0.7052957448657418	0.7047884019349419	0.7145770128528371	0.7129706760122545	cluster_4_G2_M3_C8	cluster_4_G2_M3_C8	0
3	cluster_4_G3_M5_C9	cluster_4_G3_M5_C9	0.682013874808099	0.681498131680329	0.6900602603203421	0.6881291714478535	cluster_4_G2_M5_C8	cluster_4_G2_M5_C8	0
4	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	0.8036080294296551	0.8031607913564869	0.8012067881599305	0.7988269085089147	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	1
